127.0.0.1 - - [22/Aug/2019:09:11:46 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [22/Aug/2019:09:11:48 +0530] "GET /DepartmentCrud/DepartmentShow.jsp HTTP/1.1" 500 4760
0:0:0:0:0:0:0:1 - - [22/Aug/2019:09:14:10 +0530] "GET /DepartmentCrud/DepartmentShow.jsp HTTP/1.1" 500 4760
0:0:0:0:0:0:0:1 - - [22/Aug/2019:09:14:46 +0530] "GET /DepartmentCrud/DepartmentShow.jsp HTTP/1.1" 200 1178
0:0:0:0:0:0:0:1 - - [22/Aug/2019:09:27:13 +0530] "GET /DepartmentCrud/DepartmentShow.jsp HTTP/1.1" 200 1276
0:0:0:0:0:0:0:1 - - [22/Aug/2019:09:27:15 +0530] "GET /DepartmentCrud/AddDepartment.jsp HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [22/Aug/2019:10:00:06 +0530] "GET /DepartmentCrud/AddDepartment.jsp HTTP/1.1" 500 4076
0:0:0:0:0:0:0:1 - - [22/Aug/2019:10:09:16 +0530] "GET /DepartmentCrud/AddDepartment.jsp HTTP/1.1" 500 4076
0:0:0:0:0:0:0:1 - - [22/Aug/2019:10:10:40 +0530] "GET /DepartmentCrud/AddDepartment.jsp HTTP/1.1" 500 4076
0:0:0:0:0:0:0:1 - - [22/Aug/2019:10:11:40 +0530] "GET /DepartmentCrud/AddDepartment.jsp HTTP/1.1" 200 711
0:0:0:0:0:0:0:1 - - [22/Aug/2019:10:25:50 +0530] "GET /DepartmentCrud/DepartmentShow.jsp HTTP/1.1" 200 1276
0:0:0:0:0:0:0:1 - - [22/Aug/2019:10:25:52 +0530] "GET /DepartmentCrud/DepartmentShow.jsp HTTP/1.1" 200 1276
0:0:0:0:0:0:0:1 - - [22/Aug/2019:10:25:52 +0530] "GET /DepartmentCrud/DepartmentShow.jsp HTTP/1.1" 200 1276
0:0:0:0:0:0:0:1 - - [22/Aug/2019:10:25:53 +0530] "GET /DepartmentCrud/DepartmentShow.jsp HTTP/1.1" 200 1276
0:0:0:0:0:0:0:1 - - [22/Aug/2019:10:25:53 +0530] "GET /DepartmentCrud/DepartmentShow.jsp HTTP/1.1" 200 1276
0:0:0:0:0:0:0:1 - - [22/Aug/2019:10:25:55 +0530] "GET /DepartmentCrud/AddDepartment.jsp HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [22/Aug/2019:10:26:42 +0530] "GET /DepartmentCrud/AddDepartment.jsp HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [22/Aug/2019:10:27:07 +0530] "GET /DepartmentCrud/AddDepartment.jsp HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [22/Aug/2019:11:08:20 +0530] "GET /DepartmentCrud/DepartmentShow.jsp HTTP/1.1" 200 1276
0:0:0:0:0:0:0:1 - - [22/Aug/2019:11:08:21 +0530] "GET /DepartmentCrud/DepartmentShow.jsp HTTP/1.1" 200 1276
0:0:0:0:0:0:0:1 - - [22/Aug/2019:11:08:21 +0530] "GET /DepartmentCrud/DepartmentShow.jsp HTTP/1.1" 200 1276
0:0:0:0:0:0:0:1 - - [22/Aug/2019:11:08:22 +0530] "GET /DepartmentCrud/AddDepartment.jsp HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [22/Aug/2019:11:11:12 +0530] "GET /DepartmentCrud/AddDepartment.jsp HTTP/1.1" 404 1052
